DateTime,City,AQI,PM2.5,PM10,CO,NO2,SO2,O3,Temperature,Humidity,Wind_Speed,Pressure,Day,Hour,Time_Category
2026-04-01 00:00:00,Bangalore,86,28.6,35.99,327.22,11.27,6.68,64.7,20.7,91,8.6,1012.8,Wednesday,0,Morning
2026-04-01 01:00:00,Bangalore,86,28.7,35.9,332.78,10.67,6.01,59.96,20.9,85,8.9,1013.3,Wednesday,1,Morning
2026-04-01 02:00:00,Bangalore,86,28.72,35.8,329.01,9.63,5.59,56.63,22.0,76,7.2,1013.6,Wednesday,2,Morning
2026-04-01 03:00:00,Bangalore,86,28.71,35.71,320.08,8.61,5.24,53.86,24.9,58,5.8,1013.6,Wednesday,3,Morning
2026-04-01 04:00:00,Bangalore,86,28.75,35.66,312.57,7.89,4.68,51.41,28.0,36,6.6,1013.8,Wednesday,4,Morning
2026-04-01 05:00:00,Bangalore,86,28.56,35.37,301.13,7.3,4.4,50.51,30.2,28,6.9,1013.1,Wednesday,5,Morning
2026-04-01 06:00:00,Bangalore,85,28.16,35.23,291.31,7.36,4.8,50.82,31.0,23,6.9,1012.5,Wednesday,6,Morning
2026-04-01 07:00:00,Bangalore,85,28.42,36.52,305.78,9.1,5.62,49.41,32.3,21,9.6,1011.2,Wednesday,7,Morning
2026-04-01 08:00:00,Bangalore,87,29.22,38.29,326.12,9.32,6.57,53.05,32.8,23,9.7,1010.1,Wednesday,8,Morning
2026-04-01 09:00:00,Bangalore,80,26.12,33.71,245.6,5.47,7.54,79.47,33.5,23,10.5,1008.4,Wednesday,9,Morning
2026-04-01 10:00:00,Bangalore,86,28.58,35.35,220.09,3.33,5.92,100.22,33.2,23,16.3,1007.6,Wednesday,10,Morning
2026-04-01 11:00:00,Bangalore,93,32.03,38.15,205.85,1.87,5.19,113.61,32.2,24,14.2,1007.7,Wednesday,11,Morning
2026-04-01 12:00:00,Bangalore,92,31.35,36.82,193.69,1.36,4.34,115.27,31.8,24,11.6,1008.0,Wednesday,12,Afternoon
2026-04-01 13:00:00,Bangalore,89,30.19,35.17,182.84,1.29,3.69,113.32,30.3,29,14.0,1009.0,Wednesday,13,Afternoon
2026-04-01 14:00:00,Bangalore,86,28.69,33.26,173.57,1.32,3.36,111.6,29.4,31,11.8,1010.1,Wednesday,14,Afternoon
2026-04-01 15:00:00,Bangalore,84,27.8,32.26,174.56,1.75,3.27,111.36,28.0,33,14.8,1010.9,Wednesday,15,Afternoon
2026-04-01 16:00:00,Bangalore,83,27.44,32.12,185.96,2.83,3.38,110.41,26.5,37,14.0,1012.2,Wednesday,16,Afternoon
2026-04-01 17:00:00,Bangalore,82,26.94,31.91,199.6,4.63,3.66,107.23,25.4,44,13.2,1012.9,Wednesday,17,Evening
2026-04-01 18:00:00,Bangalore,82,26.78,32.33,217.59,7.01,4.25,100.41,24.6,49,10.1,1012.9,Wednesday,18,Evening
2026-04-01 19:00:00,Bangalore,84,27.62,34.09,239.87,8.47,5.06,93.24,23.9,54,9.2,1012.6,Wednesday,19,Evening
2026-04-01 20:00:00,Bangalore,87,29.09,36.35,260.04,9.41,5.92,89.06,23.0,60,9.0,1012.2,Wednesday,20,Evening
2026-04-01 21:00:00,Bangalore,89,30.08,37.73,269.32,9.69,6.7,84.85,22.0,66,7.8,1011.7,Wednesday,21,Night
2026-04-01 22:00:00,Bangalore,91,31.22,39.51,284.2,10.19,7.42,80.65,20.9,75,7.9,1011.7,Wednesday,22,Night
2026-04-01 23:00:00,Bangalore,93,32.12,40.72,296.79,10.61,7.72,76.12,19.9,84,6.6,1012.2,Wednesday,23,Night
2026-04-02 00:00:00,Bangalore,93,32.3,40.64,297.63,10.33,7.58,70.62,20.1,86,9.3,1012.5,Thursday,0,Morning
2026-04-02 01:00:00,Bangalore,94,32.67,40.97,299.77,9.64,7.55,66.33,20.1,84,7.5,1013.3,Thursday,1,Morning
2026-04-02 02:00:00,Bangalore,95,32.75,41.03,299.81,8.89,7.45,62.57,21.4,77,5.7,1014.0,Thursday,2,Morning
2026-04-02 03:00:00,Bangalore,95,32.82,41.04,298.8,8.25,7.22,58.85,24.0,60,6.1,1014.8,Thursday,3,Morning
